Country,Job Title,Age,Quantity,Percentage
Spain,No Full-Time Job,28,8,0.08%
United Kingdom,No Full-Time Job,58,8,0.08%
Italy,No Full-Time Job,30,8,0.08%
United Kingdom,No Full-Time Job,29,8,0.08%
Poland,No Full-Time Job,61,8,0.08%
Poland,No Full-Time Job,63,8,0.08%
Italy,No Full-Time Job,47,8,0.08%
Italy,No Full-Time Job,50,8,0.08%
Italy,No Full-Time Job,39,8,0.08%
Spain,No Full-Time Job,47,8,0.08%
Germany,No Full-Time Job,39,8,0.08%
Spain,No Full-Time Job,48,8,0.08%
Italy,No Full-Time Job,17,8,0.08%
Germany,No Full-Time Job,36,8,0.08%
Poland,No Full-Time Job,27,8,0.08%
Germany,No Full-Time Job,37,8,0.08%
France,No Full-Time Job,58,8,0.08%
United Kingdom,No Full-Time Job,32,7,0.07%
United Kingdom,No Full-Time Job,24,7,0.07%
France,No Full-Time Job,62,7,0.07%
Italy,No Full-Time Job,27,7,0.07%
France,No Full-Time Job,61,7,0.07%
Spain,No Full-Time Job,53,7,0.07%
Italy,No Full-Time Job,54,7,0.07%
Germany,No Full-Time Job,58,7,0.07%
United Kingdom,No Full-Time Job,34,7,0.07%
Italy,No Full-Time Job,55,7,0.07%
France,No Full-Time Job,31,7,0.07%
United Kingdom,No Full-Time Job,36,7,0.07%
Italy,No Full-Time Job,32,7,0.07%
France,No Full-Time Job,34,7,0.07%
United Kingdom,No Full-Time Job,50,7,0.07%
Poland,No Full-Time Job,17,7,0.07%
Sweden,No Full-Time Job,16,7,0.07%
Italy,No Full-Time Job,21,7,0.07%
Netherlands,No Full-Time Job,16,7,0.07%
Germany,No Full-Time Job,24,7,0.07%
Netherlands,No Full-Time Job,48,7,0.07%
Poland,No Full-Time Job,60,7,0.07%
Poland,No Full-Time Job,59,7,0.07%
Italy,No Full-Time Job,44,7,0.07%
Poland,No Full-Time Job,21,7,0.07%
France,No Full-Time Job,42,6,0.06%
Croatia,No Full-Time Job,22,6,0.06%
Italy,No Full-Time Job,58,6,0.06%
Austria,No Full-Time Job,26,6,0.06%
Spain,No Full-Time Job,45,6,0.06%
France,No Full-Time Job,14,6,0.06%
France,No Full-Time Job,53,6,0.06%
United Kingdom,No Full-Time Job,57,6,0.06%
United Kingdom,No Full-Time Job,45,6,0.06%
Poland,No Full-Time Job,15,6,0.06%
United Kingdom,No Full-Time Job,64,6,0.06%
France,No Full-Time Job,60,6,0.06%
Greece,No Full-Time Job,45,6,0.06%
Sweden,No Full-Time Job,28,6,0.06%
Spain,No Full-Time Job,36,6,0.06%
Poland,No Full-Time Job,42,6,0.06%
France,No Full-Time Job,38,6,0.06%
Spain,No Full-Time Job,34,6,0.06%
Czechia,No Full-Time Job,20,6,0.06%
Hungary,No Full-Time Job,58,6,0.06%
Italy,No Full-Time Job,23,6,0.06%
Spain,No Full-Time Job,16,6,0.06%
France,No Full-Time Job,24,6,0.06%
Spain,No Full-Time Job,55,6,0.06%
Spain,No Full-Time Job,17,6,0.06%
Netherlands,No Full-Time Job,50,6,0.06%
Belgium,No Full-Time Job,19,6,0.06%
Italy,No Full-Time Job,26,6,0.06%
United Kingdom,No Full-Time Job,22,6,0.06%
Spain,No Full-Time Job,57,6,0.06%
Poland,No Full-Time Job,46,6,0.06%
Poland,No Full-Time Job,45,6,0.06%
Netherlands,No Full-Time Job,20,6,0.06%
Spain,No Full-Time Job,32,6,0.06%
United Kingdom,No Full-Time Job,59,5,0.05%
Finland,No Full-Time Job,18,5,0.05%
Germany,No Full-Time Job,50,5,0.05%
United Kingdom,No Full-Time Job,52,5,0.05%
Germany,No Full-Time Job,53,5,0.05%
Germany,No Full-Time Job,38,5,0.05%
Netherlands,No Full-Time Job,21,5,0.05%
Germany,No Full-Time Job,55,5,0.05%
France,No Full-Time Job,51,5,0.05%
Netherlands,No Full-Time Job,18,5,0.05%
Greece,No Full-Time Job,40,5,0.05%
Greece,No Full-Time Job,15,5,0.05%
Poland,No Full-Time Job,14,5,0.05%
Poland,No Full-Time Job,16,5,0.05%
Netherlands,No Full-Time Job,25,5,0.05%
Netherlands,No Full-Time Job,32,5,0.05%
Netherlands,No Full-Time Job,39,5,0.05%
Netherlands,No Full-Time Job,43,5,0.05%
Netherlands,No Full-Time Job,46,5,0.05%
Poland,No Full-Time Job,31,5,0.05%
Poland,No Full-Time Job,34,5,0.05%
Poland,No Full-Time Job,43,5,0.05%
Poland,No Full-Time Job,44,5,0.05%
Poland,No Full-Time Job,50,5,0.05%
Netherlands,No Full-Time Job,52,5,0.05%
Poland,No Full-Time Job,58,5,0.05%
Poland,No Full-Time Job,62,5,0.05%
Hungary,No Full-Time Job,20,5,0.05%
Germany,No Full-Time Job,60,5,0.05%
Czechia,No Full-Time Job,26,5,0.05%
Hungary,No Full-Time Job,40,5,0.05%
Hungary,No Full-Time Job,62,5,0.05%
Spain,No Full-Time Job,15,5,0.05%
Italy,No Full-Time Job,34,5,0.05%
France,No Full-Time Job,39,5,0.05%
United Kingdom,No Full-Time Job,38,5,0.05%
United Kingdom,No Full-Time Job,39,5,0.05%
Italy,No Full-Time Job,38,5,0.05%
Poland,No Full-Time Job,55,5,0.05%
Poland,No Full-Time Job,29,5,0.05%
Belgium,No Full-Time Job,23,5,0.05%
United Kingdom,No Full-Time Job,65,5,0.05%
Romania,No Full-Time Job,22,5,0.05%
Romania,No Full-Time Job,47,5,0.05%
Italy,No Full-Time Job,49,5,0.05%
Italy,No Full-Time Job,65,5,0.05%
Poland,No Full-Time Job,57,4,0.04%
France,No Full-Time Job,33,4,0.04%
Austria,No Full-Time Job,15,4,0.04%
Austria,No Full-Time Job,17,4,0.04%
Greece,No Full-Time Job,41,4,0.04%
Romania,No Full-Time Job,33,4,0.04%
Poland,Automatic Data Processing Systems Security Specialist (ADP Systems Security),42,4,0.04%
Spain,No Full-Time Job,33,4,0.04%
Greece,No Full-Time Job,33,4,0.04%
United Kingdom,No Full-Time Job,61,4,0.04%
Romania,No Full-Time Job,27,4,0.04%
Spain,No Full-Time Job,37,4,0.04%
Greece,No Full-Time Job,25,4,0.04%
Romania,No Full-Time Job,23,4,0.04%
Greece,No Full-Time Job,27,4,0.04%
Bulgaria,No Full-Time Job,30,4,0.04%
Italy,No Full-Time Job,56,4,0.04%
Netherlands,No Full-Time Job,26,4,0.04%
Romania,No Full-Time Job,45,4,0.04%
Germany,No Full-Time Job,59,4,0.04%
Netherlands,No Full-Time Job,37,4,0.04%
Netherlands,No Full-Time Job,34,4,0.04%
Netherlands,No Full-Time Job,31,4,0.04%
Hungary,No Full-Time Job,15,4,0.04%
Netherlands,No Full-Time Job,24,4,0.04%
Austria,No Full-Time Job,35,4,0.04%
Bulgaria,No Full-Time Job,45,4,0.04%
Netherlands,No Full-Time Job,22,4,0.04%
Netherlands,No Full-Time Job,19,4,0.04%
Netherlands,No Full-Time Job,59,4,0.04%
Netherlands,No Full-Time Job,14,4,0.04%
Hungary,No Full-Time Job,26,4,0.04%
Greece,No Full-Time Job,20,4,0.04%
Germany,No Full-Time Job,63,4,0.04%
Ireland,No Full-Time Job,18,4,0.04%
France,No Full-Time Job,65,4,0.04%
United Kingdom,No Full-Time Job,54,4,0.04%
Portugal,No Full-Time Job,41,4,0.04%
Poland,No Full-Time Job,39,4,0.04%
Italy,No Full-Time Job,51,4,0.04%
Portugal,No Full-Time Job,18,4,0.04%
Sweden,No Full-Time Job,15,4,0.04%
Denmark,No Full-Time Job,46,4,0.04%
Denmark,No Full-Time Job,42,4,0.04%
Spain,SQL Database Administrator,48,4,0.04%
Germany,No Full-Time Job,57,4,0.04%
Finland,No Full-Time Job,40,4,0.04%
Sweden,No Full-Time Job,32,4,0.04%
Spain,No Full-Time Job,52,4,0.04%
Spain,No Full-Time Job,54,4,0.04%
Sweden,No Full-Time Job,50,4,0.04%
Sweden,No Full-Time Job,25,4,0.04%
Poland,No Full-Time Job,24,4,0.04%
France,No Full-Time Job,63,4,0.04%
Croatia,No Full-Time Job,43,3,0.03%
Germany,Data Security Administrator,25,3,0.03%
Netherlands,No Full-Time Job,27,3,0.03%
France,Director of Data Operations,40,3,0.03%
Portugal,No Full-Time Job,34,3,0.03%
France,Data Warehouse Analyst,49,3,0.03%
Austria,No Full-Time Job,14,3,0.03%
France,Data Warehouse Architect,41,3,0.03%
Netherlands,No Full-Time Job,17,3,0.03%
Portugal,No Full-Time Job,39,3,0.03%
Italy,Data Storage Specialist,41,3,0.03%
Netherlands,No Full-Time Job,15,3,0.03%
France,Director of Data Operations,35,3,0.03%
Poland,Database Designer,42,3,0.03%
Greece,No Full-Time Job,24,3,0.03%
Greece,No Full-Time Job,19,3,0.03%
Greece,No Full-Time Job,18,3,0.03%
Greece,No Full-Time Job,17,3,0.03%
Portugal,No Full-Time Job,45,3,0.03%
Greece,No Full-Time Job,30,3,0.03%
Poland,Electronic Data Processing Auditor (EDP Auditor),38,3,0.03%
Spain,Data Systems Manager,40,3,0.03%
Greece,No Full-Time Job,37,3,0.03%
Portugal,No Full-Time Job,48,3,0.03%
Greece,No Full-Time Job,48,3,0.03%
France,Database Modeler,34,3,0.03%
Poland,Geographic Information Systems Database Administrator (GIS Database Administrator),30,3,0.03%
France,Director of Data Operations,25,3,0.03%
France,Data Warehousing Manager,44,3,0.03%
Hungary,No Full-Time Job,22,3,0.03%
Italy,Data Processing Consultant,45,3,0.03%
Ireland,No Full-Time Job,16,3,0.03%
Italy,No Full-Time Job,57,3,0.03%
Germany,Data Warehousing Specialist,23,3,0.03%
Austria,No Full-Time Job,31,3,0.03%
Spain,No Full-Time Job,59,3,0.03%
Spain,No Full-Time Job,60,3,0.03%
Denmark,No Full-Time Job,22,3,0.03%
Spain,No Full-Time Job,63,3,0.03%
Denmark,No Full-Time Job,24,3,0.03%
Denmark,No Full-Time Job,30,3,0.03%
Denmark,No Full-Time Job,47,3,0.03%
Denmark,No Full-Time Job,56,3,0.03%
Italy,No Full-Time Job,61,3,0.03%
Ireland,No Full-Time Job,32,3,0.03%
Ireland,No Full-Time Job,50,3,0.03%
Ireland,No Full-Time Job,59,3,0.03%
Finland,No Full-Time Job,16,3,0.03%
Sweden,No Full-Time Job,14,3,0.03%
Sweden,No Full-Time Job,18,3,0.03%
Sweden,No Full-Time Job,20,3,0.03%
Italy,Data Administrator,35,3,0.03%
Italy,Data Architect,42,3,0.03%
Italy,Data Administrator,45,3,0.03%
Italy,No Full-Time Job,59,3,0.03%
Spain,No Full-Time Job,38,3,0.03%
Italy,Data Processing Auditor,43,3,0.03%
Czechia,No Full-Time Job,43,3,0.03%
Poland,Database Administration Manager,28,3,0.03%
Netherlands,No Full-Time Job,41,3,0.03%
Netherlands,No Full-Time Job,44,3,0.03%
Germany,Data Storage Specialist,26,3,0.03%
Czechia,No Full-Time Job,22,3,0.03%
Czechia,No Full-Time Job,23,3,0.03%
Netherlands,No Full-Time Job,57,3,0.03%
Netherlands,No Full-Time Job,58,3,0.03%
Czechia,No Full-Time Job,30,3,0.03%
Poland,No Full-Time Job,28,3,0.03%
Netherlands,No Full-Time Job,62,3,0.03%
Italy,No Full-Time Job,62,3,0.03%
United Kingdom,Data Coordinator,48,3,0.03%
Hungary,No Full-Time Job,64,3,0.03%
Austria,No Full-Time Job,20,3,0.03%
Italy,No Full-Time Job,36,3,0.03%
Italy,No Full-Time Job,64,3,0.03%
Spain,No Full-Time Job,30,3,0.03%
Germany,Database Consultant,46,3,0.03%
Italy,Data Management Associate,42,3,0.03%
United Kingdom,Data Architect,46,3,0.03%
Italy,No Full-Time Job,37,3,0.03%
Poland,No Full-Time Job,26,3,0.03%
Sweden,No Full-Time Job,44,3,0.03%
Poland,No Full-Time Job,41,3,0.03%
Germany,Data Administrator,33,3,0.03%
Germany,No Full-Time Job,56,3,0.03%
Belgium,No Full-Time Job,42,3,0.03%
Germany,No Full-Time Job,65,3,0.03%
Romania,No Full-Time Job,34,3,0.03%
Bulgaria,No Full-Time Job,20,3,0.03%
Bulgaria,No Full-Time Job,18,3,0.03%
Slovakia,No Full-Time Job,19,3,0.03%
Romania,No Full-Time Job,17,3,0.03%
Bulgaria,No Full-Time Job,59,3,0.03%
Slovakia,No Full-Time Job,16,3,0.03%
Poland,No Full-Time Job,56,3,0.03%
Germany,No Full-Time Job,64,3,0.03%
Romania,No Full-Time Job,50,3,0.03%
Italy,Database Consultant,48,3,0.03%
Romania,No Full-Time Job,20,3,0.03%
Romania,No Full-Time Job,21,3,0.03%
Romania,No Full-Time Job,43,3,0.03%
United Kingdom,No Full-Time Job,23,3,0.03%
Belgium,No Full-Time Job,27,3,0.03%
Germany,Geographic Information Systems Data Administrator (GIS Data Administrator),26,3,0.03%
Poland,No Full-Time Job,48,3,0.03%
Lithuania,No Full-Time Job,16,3,0.03%
Italy,Data Warehousing Specialist,44,3,0.03%
Bulgaria,No Full-Time Job,41,3,0.03%
Italy,Database Modeler,46,3,0.03%
Belgium,No Full-Time Job,16,3,0.03%
Portugal,No Full-Time Job,19,3,0.03%
Italy,Data Warehousing Engineer,41,3,0.03%
Poland,No Full-Time Job,36,3,0.03%
Belgium,No Full-Time Job,17,3,0.03%
Belgium,No Full-Time Job,56,3,0.03%
Poland,No Full-Time Job,38,3,0.03%
Spain,Computer or Data Processing Systems Consultant,40,3,0.03%
Croatia,No Full-Time Job,21,3,0.03%
Belgium,No Full-Time Job,48,3,0.03%
Belgium,No Full-Time Job,53,3,0.03%
Portugal,No Full-Time Job,21,3,0.03%
Poland,No Full-Time Job,33,3,0.03%
Austria,No Full-Time Job,30,2,0.02%
Germany,Data Warehouse Specialist,50,2,0.02%
Germany,Data Warehousing Specialist,35,2,0.02%
Portugal,Data Communications Software Consultant,40,2,0.02%
Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),43,2,0.02%
Germany,Geographic Information Systems Database Administrator (GIS Database Administrator),41,2,0.02%
Germany,Geographic Information Systems Database Administrator (GIS Database Administrator),27,2,0.02%
Germany,Data Base Design Analyst,30,2,0.02%
France,Data Communications Analyst,44,2,0.02%
Germany,Database Architect,48,2,0.02%
Slovakia,No Full-Time Job,22,2,0.02%
Germany,Geographic Information Systems Data Manager (GIS Data Manager),40,2,0.02%
Germany,Geographic Information Systems Data Manager (GIS Data Manager),41,2,0.02%
Slovakia,No Full-Time Job,35,2,0.02%
Germany,Geographic Information Systems Data Specialist (GIS Data Specialist),21,2,0.02%
Germany,Database Consultant,18,2,0.02%
Spain,No Full-Time Job,31,2,0.02%
Austria,No Full-Time Job,25,2,0.02%
Slovakia,No Full-Time Job,49,2,0.02%
Austria,No Full-Time Job,27,2,0.02%
France,Data Communications Software Consultant,24,2,0.02%
Sweden,No Full-Time Job,45,2,0.02%
Romania,Database Analyst,38,2,0.02%
France,Data Coordinator,20,2,0.02%
Germany,Data Communications Software Consultant,37,2,0.02%
Germany,Electronic Data Processing Auditor (EDP Auditor),43,2,0.02%
Germany,Data Management Associate,49,2,0.02%
Germany,Data Systems Manager,47,2,0.02%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),50,2,0.02%
Hungary,No Full-Time Job,60,2,0.02%
Hungary,No Full-Time Job,59,2,0.02%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),42,2,0.02%
Germany,Database Engineer,44,2,0.02%
France,Data Miner,46,2,0.02%
Hungary,No Full-Time Job,55,2,0.02%
Poland,Data Warehouse Analyst,44,2,0.02%
Hungary,No Full-Time Job,52,2,0.02%
Germany,Director of Data Operations,51,2,0.02%
Hungary,No Full-Time Job,48,2,0.02%
France,Data Modeling Specialist,37,2,0.02%
Spain,Head of Information Systems and Data Processing,41,2,0.02%
Hungary,No Full-Time Job,65,2,0.02%
France,Data Management Associate,48,2,0.02%
Germany,Data Warehouse Architect,30,2,0.02%
Germany,Data Coordinator,41,2,0.02%
Germany,Electronic Data Processing Auditor (EDP Auditor),45,2,0.02%
Germany,Data Warehouse Developer,35,2,0.02%
Romania,Data Processing Systems Project Planner,45,2,0.02%
Germany,Data Warehouse Architect,52,2,0.02%
Germany,Data Warehouse Architect,35,2,0.02%
Romania,Database Consultant,41,2,0.02%
France,Data Management Associate,45,2,0.02%
Germany,Data Warehouse Analyst,40,2,0.02%
Germany,Database Engineer,41,2,0.02%
Spain,No Full-Time Job,14,2,0.02%
Poland,Data Storage Specialist,39,2,0.02%
France,Data Management Associate,26,2,0.02%
Poland,Data Systems Manager,27,2,0.02%
Germany,Geographic Information Systems Database Administrator (GIS Database Administrator),53,2,0.02%
Germany,Head of Information Systems and Data Processing,26,2,0.02%
France,No Full-Time Job,56,2,0.02%
Germany,Automatic Data Processing Systems Security Specialist (ADP Systems Security),48,2,0.02%
Germany,Automatic Data Processing Planner (ADP Planner),40,2,0.02%
United Kingdom,SQL Database Administrator,24,2,0.02%
Sweden,Database Security Administrator,27,2,0.02%
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),48,2,0.02%
Germany,Database Administration Manager,26,2,0.02%
Finland,No Full-Time Job,33,2,0.02%
Finland,No Full-Time Job,34,2,0.02%
Finland,No Full-Time Job,50,2,0.02%
Germany,Database Administration Associate,45,2,0.02%
Finland,No Full-Time Job,51,2,0.02%
Italy,Automatic Data Processing Systems Security Specialist (ADP Systems Security),45,2,0.02%
Italy,Automatic Data Processing Systems Security Specialist (ADP Systems Security),43,2,0.02%
Poland,Data Miner,42,2,0.02%
Italy,Automatic Data Processing Planner (ADP Planner),44,2,0.02%
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),27,2,0.02%
Italy,Automatic Data Processing Planner,63,2,0.02%
Germany,Database Administration Manager,30,2,0.02%
Sweden,No Full-Time Job,17,2,0.02%
Sweden,No Full-Time Job,19,2,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),55,2,0.02%
Germany,Automatic Data Processing Planner,28,2,0.02%
Poland,Data Coordinator,40,2,0.02%
Sweden,No Full-Time Job,42,2,0.02%
Sweden,No Full-Time Job,40,2,0.02%
Sweden,No Full-Time Job,39,2,0.02%
United Kingdom,Oracle Database Administrator (Oracle DBA),28,2,0.02%
Poland,Data Coordinator,44,2,0.02%
Spain,Data Architect,45,2,0.02%
Germany,Automatic Data Processing Planner,40,2,0.02%
Romania,Data Officer,44,2,0.02%
Sweden,No Full-Time Job,27,2,0.02%
Sweden,No Full-Time Job,26,2,0.02%
Sweden,No Full-Time Job,24,2,0.02%
Sweden,No Full-Time Job,23,2,0.02%
Sweden,No Full-Time Job,22,2,0.02%
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),45,2,0.02%
Italy,Automatic Data Processing Customer Liaison (ADP Customer Liaison),45,2,0.02%
Italy,Automatic Data Processing Customer Liaison (ADP Customer Liaison),39,2,0.02%
Poland,Data Security Administrator,23,2,0.02%
France,Computer or Data Processing Systems Consultant,41,2,0.02%
France,Computer or Data Processing Systems Consultant,50,2,0.02%
Poland,Data Security Analyst,42,2,0.02%
France,Data Architect,35,2,0.02%
France,No Full-Time Job,64,2,0.02%
France,Data Architect,43,2,0.02%
France,Data Architect,46,2,0.02%
Slovenia,No Full-Time Job,23,2,0.02%
Hungary,No Full-Time Job,34,2,0.02%
Spain,No Full-Time Job,61,2,0.02%
Germany,Data Administrator,51,2,0.02%
France,Data Base Design Analyst,33,2,0.02%
Spain,No Full-Time Job,58,2,0.02%
France,Data Base Design Analyst,41,2,0.02%
France,Data Base Design Analyst,55,2,0.02%
Germany,Head of Information Systems and Data Processing,41,2,0.02%
Spain,Data Communications Software Consultant,33,2,0.02%
France,Automatic Data Processing Planner,47,2,0.02%
Slovenia,No Full-Time Job,27,2,0.02%
Sweden,Data Processing Manager,42,2,0.02%
Spain,Automatic Data Processing Planner (ADP Planner),59,2,0.02%
Ireland,No Full-Time Job,57,2,0.02%
Ireland,No Full-Time Job,56,2,0.02%
Spain,Automatic Data Processing Planner (ADP Planner),44,2,0.02%
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),43,2,0.02%
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),54,2,0.02%
Poland,Data Processing Manager,40,2,0.02%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50,2,0.02%
Poland,Data Processing Systems Analyst,25,2,0.02%
Ireland,No Full-Time Job,20,2,0.02%
Germany,Computer or Data Processing Systems Consultant,41,2,0.02%
Ireland,No Full-Time Job,19,2,0.02%
Germany,Internet Database Specialist,35,2,0.02%
France,Oracle Database Administrator (Oracle DBA),35,2,0.02%
Germany,Database Engineer,47,2,0.02%
France,Data Officer,46,2,0.02%
Germany,Data Miner,26,2,0.02%
Spain,Data Warehouse Specialist,35,2,0.02%
