Country,Job Title,Age,Quantity,Percentage
France,No Full-Time Job,41,15.0,0.34%
Germany,No Full-Time Job,46,14.0,0.32%
Germany,No Full-Time Job,35,14.0,0.32%
Spain,No Full-Time Job,46,14.0,0.32%
France,No Full-Time Job,29,14.0,0.32%
Italy,No Full-Time Job,16,14.0,0.32%
United Kingdom,No Full-Time Job,14,14.0,0.32%
Germany,No Full-Time Job,43,14.0,0.32%
Germany,No Full-Time Job,44,14.0,0.32%
Italy,No Full-Time Job,18,14.0,0.32%
Germany,No Full-Time Job,27,14.0,0.32%
Spain,No Full-Time Job,25,14.0,0.32%
Spain,No Full-Time Job,27,13.0,0.29%
Italy,No Full-Time Job,28,13.0,0.29%
France,No Full-Time Job,55,13.0,0.29%
United Kingdom,No Full-Time Job,46,13.0,0.29%
United Kingdom,No Full-Time Job,47,13.0,0.29%
United Kingdom,No Full-Time Job,48,13.0,0.29%
Poland,No Full-Time Job,20,13.0,0.29%
Poland,No Full-Time Job,22,13.0,0.29%
Italy,No Full-Time Job,35,13.0,0.29%
Germany,No Full-Time Job,54,13.0,0.29%
Italy,No Full-Time Job,53,13.0,0.29%
France,No Full-Time Job,28,13.0,0.29%
France,No Full-Time Job,23,13.0,0.29%
Italy,No Full-Time Job,15,13.0,0.29%
Germany,No Full-Time Job,49,13.0,0.29%
United Kingdom,No Full-Time Job,25,13.0,0.29%
Germany,No Full-Time Job,28,13.0,0.29%
Spain,No Full-Time Job,22,12.0,0.27%
Spain,No Full-Time Job,23,12.0,0.27%
Germany,No Full-Time Job,30,12.0,0.27%
Germany,No Full-Time Job,23,12.0,0.27%
United Kingdom,No Full-Time Job,27,12.0,0.27%
France,No Full-Time Job,32,12.0,0.27%
United Kingdom,No Full-Time Job,21,12.0,0.27%
Spain,No Full-Time Job,20,12.0,0.27%
Poland,No Full-Time Job,52,12.0,0.27%
United Kingdom,No Full-Time Job,55,12.0,0.27%
Spain,No Full-Time Job,49,12.0,0.27%
Spain,No Full-Time Job,50,12.0,0.27%
France,No Full-Time Job,17,12.0,0.27%
Germany,No Full-Time Job,47,12.0,0.27%
Germany,No Full-Time Job,34,12.0,0.27%
France,No Full-Time Job,50,12.0,0.27%
United Kingdom,No Full-Time Job,60,12.0,0.27%
France,No Full-Time Job,22,12.0,0.27%
France,No Full-Time Job,16,12.0,0.27%
Poland,No Full-Time Job,30,12.0,0.27%
Spain,No Full-Time Job,35,12.0,0.27%
United Kingdom,No Full-Time Job,31,12.0,0.27%
France,No Full-Time Job,36,12.0,0.27%
Germany,No Full-Time Job,51,12.0,0.27%
Italy,No Full-Time Job,42,11.0,0.25%
France,No Full-Time Job,27,11.0,0.25%
France,No Full-Time Job,26,11.0,0.25%
Germany,No Full-Time Job,21,11.0,0.25%
Italy,No Full-Time Job,43,11.0,0.25%
France,No Full-Time Job,15,11.0,0.25%
Poland,No Full-Time Job,65,11.0,0.25%
United Kingdom,No Full-Time Job,56,11.0,0.25%
Romania,No Full-Time Job,18,11.0,0.25%
France,No Full-Time Job,59,11.0,0.25%
Spain,No Full-Time Job,21,11.0,0.25%
Italy,No Full-Time Job,14,11.0,0.25%
France,No Full-Time Job,46,11.0,0.25%
United Kingdom,No Full-Time Job,42,11.0,0.25%
Netherlands,No Full-Time Job,45,11.0,0.25%
Spain,No Full-Time Job,24,11.0,0.25%
Spain,No Full-Time Job,29,11.0,0.25%
United Kingdom,No Full-Time Job,33,11.0,0.25%
Italy,No Full-Time Job,20,11.0,0.25%
United Kingdom,No Full-Time Job,37,11.0,0.25%
United Kingdom,No Full-Time Job,28,11.0,0.25%
United Kingdom,No Full-Time Job,26,11.0,0.25%
Germany,No Full-Time Job,29,11.0,0.25%
Netherlands,No Full-Time Job,47,11.0,0.25%
France,No Full-Time Job,52,10.0,0.23%
Germany,No Full-Time Job,32,10.0,0.23%
United Kingdom,No Full-Time Job,62,10.0,0.23%
Spain,No Full-Time Job,39,10.0,0.23%
France,No Full-Time Job,48,10.0,0.23%
Spain,No Full-Time Job,26,10.0,0.23%
France,No Full-Time Job,47,10.0,0.23%
Italy,No Full-Time Job,45,10.0,0.23%
Germany,No Full-Time Job,42,10.0,0.23%
Germany,No Full-Time Job,52,10.0,0.23%
Poland,No Full-Time Job,23,10.0,0.23%
France,No Full-Time Job,44,10.0,0.23%
France,No Full-Time Job,37,10.0,0.23%
Germany,No Full-Time Job,61,10.0,0.23%
Italy,No Full-Time Job,19,10.0,0.23%
Italy,No Full-Time Job,48,10.0,0.23%
Italy,No Full-Time Job,40,9.0,0.2%
Italy,No Full-Time Job,52,9.0,0.2%
Spain,No Full-Time Job,51,9.0,0.2%
Italy,No Full-Time Job,33,9.0,0.2%
France,No Full-Time Job,49,9.0,0.2%
France,No Full-Time Job,30,9.0,0.2%
Poland,No Full-Time Job,53,9.0,0.2%
Italy,No Full-Time Job,46,9.0,0.2%
France,No Full-Time Job,57,9.0,0.2%
France,No Full-Time Job,35,9.0,0.2%
United Kingdom,No Full-Time Job,51,9.0,0.2%
United Kingdom,No Full-Time Job,30,9.0,0.2%
Germany,No Full-Time Job,14,9.0,0.2%
Poland,No Full-Time Job,25,9.0,0.2%
United Kingdom,No Full-Time Job,20,9.0,0.2%
United Kingdom,No Full-Time Job,63,9.0,0.2%
Germany,No Full-Time Job,22,9.0,0.2%
Spain,No Full-Time Job,42,9.0,0.2%
United Kingdom,No Full-Time Job,44,9.0,0.2%
United Kingdom,No Full-Time Job,35,8.0,0.18%
Italy,No Full-Time Job,17,8.0,0.18%
Germany,No Full-Time Job,39,8.0,0.18%
United Kingdom,No Full-Time Job,58,8.0,0.18%
Germany,No Full-Time Job,37,8.0,0.18%
Germany,No Full-Time Job,36,8.0,0.18%
Spain,No Full-Time Job,47,8.0,0.18%
Italy,No Full-Time Job,30,8.0,0.18%
Spain,No Full-Time Job,28,8.0,0.18%
Germany,No Full-Time Job,48,8.0,0.18%
Poland,No Full-Time Job,61,8.0,0.18%
France,No Full-Time Job,58,8.0,0.18%
Italy,No Full-Time Job,39,8.0,0.18%
Italy,No Full-Time Job,24,8.0,0.18%
United Kingdom,No Full-Time Job,29,8.0,0.18%
Spain,No Full-Time Job,48,8.0,0.18%
Poland,No Full-Time Job,35,8.0,0.18%
Poland,No Full-Time Job,32,8.0,0.18%
Italy,No Full-Time Job,47,8.0,0.18%
Italy,No Full-Time Job,50,8.0,0.18%
Poland,No Full-Time Job,63,8.0,0.18%
Poland,No Full-Time Job,54,8.0,0.18%
Poland,No Full-Time Job,27,8.0,0.18%
Poland,No Full-Time Job,59,7.0,0.16%
Italy,No Full-Time Job,21,7.0,0.16%
Germany,No Full-Time Job,58,7.0,0.16%
Italy,No Full-Time Job,54,7.0,0.16%
Italy,No Full-Time Job,55,7.0,0.16%
United Kingdom,No Full-Time Job,34,7.0,0.16%
United Kingdom,No Full-Time Job,32,7.0,0.16%
France,No Full-Time Job,62,7.0,0.16%
Poland,No Full-Time Job,60,7.0,0.16%
France,No Full-Time Job,34,7.0,0.16%
United Kingdom,No Full-Time Job,36,7.0,0.16%
Sweden,No Full-Time Job,16,7.0,0.16%
Italy,No Full-Time Job,27,7.0,0.16%
Spain,No Full-Time Job,53,7.0,0.16%
Netherlands,No Full-Time Job,16,7.0,0.16%
United Kingdom,No Full-Time Job,50,7.0,0.16%
United Kingdom,No Full-Time Job,24,7.0,0.16%
Poland,No Full-Time Job,17,7.0,0.16%
Italy,No Full-Time Job,44,7.0,0.16%
Italy,No Full-Time Job,32,7.0,0.16%
Netherlands,No Full-Time Job,48,7.0,0.16%
Poland,No Full-Time Job,21,7.0,0.16%
France,No Full-Time Job,61,7.0,0.16%
Germany,No Full-Time Job,24,7.0,0.16%
France,No Full-Time Job,31,7.0,0.16%
Spain,No Full-Time Job,16,6.0,0.14%
United Kingdom,No Full-Time Job,64,6.0,0.14%
Poland,No Full-Time Job,42,6.0,0.14%
Poland,No Full-Time Job,45,6.0,0.14%
France,No Full-Time Job,42,6.0,0.14%
Spain,No Full-Time Job,17,6.0,0.14%
United Kingdom,No Full-Time Job,57,6.0,0.14%
Spain,No Full-Time Job,57,6.0,0.14%
France,No Full-Time Job,38,6.0,0.14%
Netherlands,No Full-Time Job,50,6.0,0.14%
Austria,No Full-Time Job,26,6.0,0.14%
Poland,No Full-Time Job,46,6.0,0.14%
Spain,No Full-Time Job,45,6.0,0.14%
United Kingdom,No Full-Time Job,45,6.0,0.14%
Belgium,No Full-Time Job,19,6.0,0.14%
Greece,No Full-Time Job,45,6.0,0.14%
Italy,No Full-Time Job,58,6.0,0.14%
Hungary,No Full-Time Job,58,6.0,0.14%
France,No Full-Time Job,24,6.0,0.14%
Spain,No Full-Time Job,36,6.0,0.14%
Czechia,No Full-Time Job,20,6.0,0.14%
Spain,No Full-Time Job,55,6.0,0.14%
Croatia,No Full-Time Job,22,6.0,0.14%
Poland,No Full-Time Job,15,6.0,0.14%
Spain,No Full-Time Job,34,6.0,0.14%
France,No Full-Time Job,60,6.0,0.14%
Netherlands,No Full-Time Job,20,6.0,0.14%
United Kingdom,No Full-Time Job,22,6.0,0.14%
Spain,No Full-Time Job,32,6.0,0.14%
Sweden,No Full-Time Job,28,6.0,0.14%
Italy,No Full-Time Job,26,6.0,0.14%
Italy,No Full-Time Job,23,6.0,0.14%
France,No Full-Time Job,53,6.0,0.14%
France,No Full-Time Job,14,6.0,0.14%
Poland,No Full-Time Job,62,5.0,0.11%
Spain,No Full-Time Job,15,5.0,0.11%
Finland,No Full-Time Job,18,5.0,0.11%
Poland,No Full-Time Job,58,5.0,0.11%
Poland,No Full-Time Job,14,5.0,0.11%
Poland,No Full-Time Job,34,5.0,0.11%
Greece,No Full-Time Job,40,5.0,0.11%
Germany,No Full-Time Job,55,5.0,0.11%
Poland,No Full-Time Job,31,5.0,0.11%
Poland,No Full-Time Job,29,5.0,0.11%
Poland,No Full-Time Job,55,5.0,0.11%
United Kingdom,No Full-Time Job,59,5.0,0.11%
Germany,No Full-Time Job,53,5.0,0.11%
Poland,No Full-Time Job,16,5.0,0.11%
Netherlands,No Full-Time Job,18,5.0,0.11%
United Kingdom,No Full-Time Job,52,5.0,0.11%
Netherlands,No Full-Time Job,21,5.0,0.11%
Germany,No Full-Time Job,38,5.0,0.11%
Netherlands,No Full-Time Job,25,5.0,0.11%
Netherlands,No Full-Time Job,32,5.0,0.11%
Belgium,No Full-Time Job,23,5.0,0.11%
Netherlands,No Full-Time Job,39,5.0,0.11%
Germany,No Full-Time Job,50,5.0,0.11%
United Kingdom,No Full-Time Job,38,5.0,0.11%
United Kingdom,No Full-Time Job,39,5.0,0.11%
Netherlands,No Full-Time Job,46,5.0,0.11%
Italy,No Full-Time Job,65,5.0,0.11%
United Kingdom,No Full-Time Job,65,5.0,0.11%
Italy,No Full-Time Job,49,5.0,0.11%
Romania,No Full-Time Job,47,5.0,0.11%
Poland,No Full-Time Job,50,5.0,0.11%
France,No Full-Time Job,39,5.0,0.11%
Poland,No Full-Time Job,44,5.0,0.11%
Poland,No Full-Time Job,43,5.0,0.11%
France,No Full-Time Job,51,5.0,0.11%
Italy,No Full-Time Job,34,5.0,0.11%
Italy,No Full-Time Job,38,5.0,0.11%
Czechia,No Full-Time Job,26,5.0,0.11%
Greece,No Full-Time Job,15,5.0,0.11%
Hungary,No Full-Time Job,62,5.0,0.11%
Hungary,No Full-Time Job,40,5.0,0.11%
Germany,No Full-Time Job,60,5.0,0.11%
Hungary,No Full-Time Job,20,5.0,0.11%
Romania,No Full-Time Job,22,5.0,0.11%
Netherlands,No Full-Time Job,52,5.0,0.11%
Netherlands,No Full-Time Job,43,5.0,0.11%
Germany,No Full-Time Job,57,4.0,0.09%
Romania,No Full-Time Job,45,4.0,0.09%
Germany,No Full-Time Job,63,4.0,0.09%
Germany,No Full-Time Job,59,4.0,0.09%
Greece,No Full-Time Job,27,4.0,0.09%
Greece,No Full-Time Job,20,4.0,0.09%
Greece,No Full-Time Job,25,4.0,0.09%
Greece,No Full-Time Job,33,4.0,0.09%
Greece,No Full-Time Job,41,4.0,0.09%
Romania,No Full-Time Job,33,4.0,0.09%
Romania,No Full-Time Job,27,4.0,0.09%
Romania,No Full-Time Job,23,4.0,0.09%
Ireland,No Full-Time Job,18,4.0,0.09%
Hungary,No Full-Time Job,26,4.0,0.09%
Portugal,No Full-Time Job,41,4.0,0.09%
France,No Full-Time Job,65,4.0,0.09%
France,No Full-Time Job,63,4.0,0.09%
France,No Full-Time Job,33,4.0,0.09%
Hungary,No Full-Time Job,15,4.0,0.09%
Netherlands,No Full-Time Job,59,4.0,0.09%
Denmark,No Full-Time Job,46,4.0,0.09%
Austria,No Full-Time Job,35,4.0,0.09%
Finland,No Full-Time Job,40,4.0,0.09%
United Kingdom,No Full-Time Job,54,4.0,0.09%
Netherlands,No Full-Time Job,37,4.0,0.09%
Poland,No Full-Time Job,57,4.0,0.09%
Netherlands,No Full-Time Job,34,4.0,0.09%
Italy,No Full-Time Job,51,4.0,0.09%
Netherlands,No Full-Time Job,31,4.0,0.09%
Netherlands,No Full-Time Job,26,4.0,0.09%
Netherlands,No Full-Time Job,24,4.0,0.09%
Netherlands,No Full-Time Job,22,4.0,0.09%
Sweden,No Full-Time Job,15,4.0,0.09%
Poland,No Full-Time Job,24,4.0,0.09%
Denmark,No Full-Time Job,42,4.0,0.09%
Netherlands,No Full-Time Job,14,4.0,0.09%
Sweden,No Full-Time Job,50,4.0,0.09%
Bulgaria,No Full-Time Job,30,4.0,0.09%
Sweden,No Full-Time Job,25,4.0,0.09%
Netherlands,No Full-Time Job,19,4.0,0.09%
Sweden,No Full-Time Job,32,4.0,0.09%
Spain,No Full-Time Job,54,4.0,0.09%
Italy,No Full-Time Job,56,4.0,0.09%
Spain,No Full-Time Job,52,4.0,0.09%
Spain,No Full-Time Job,33,4.0,0.09%
Portugal,No Full-Time Job,18,4.0,0.09%
Poland,No Full-Time Job,39,4.0,0.09%
United Kingdom,No Full-Time Job,61,4.0,0.09%
Austria,No Full-Time Job,17,4.0,0.09%
Austria,No Full-Time Job,15,4.0,0.09%
Bulgaria,No Full-Time Job,45,4.0,0.09%
Spain,No Full-Time Job,37,4.0,0.09%
Greece,No Full-Time Job,30,3.0,0.07%
Romania,No Full-Time Job,20,3.0,0.07%
Romania,No Full-Time Job,21,3.0,0.07%
Italy,No Full-Time Job,62,3.0,0.07%
Italy,No Full-Time Job,64,3.0,0.07%
Greece,No Full-Time Job,48,3.0,0.07%
Bulgaria,No Full-Time Job,59,3.0,0.07%
Lithuania,No Full-Time Job,16,3.0,0.07%
Poland,No Full-Time Job,28,3.0,0.07%
Croatia,No Full-Time Job,21,3.0,0.07%
Poland,No Full-Time Job,26,3.0,0.07%
Greece,No Full-Time Job,18,3.0,0.07%
Poland,No Full-Time Job,36,3.0,0.07%
Croatia,No Full-Time Job,43,3.0,0.07%
Netherlands,No Full-Time Job,15,3.0,0.07%
Greece,No Full-Time Job,24,3.0,0.07%
Slovakia,No Full-Time Job,19,3.0,0.07%
Greece,No Full-Time Job,19,3.0,0.07%
Romania,No Full-Time Job,34,3.0,0.07%
Greece,No Full-Time Job,37,3.0,0.07%
Poland,No Full-Time Job,33,3.0,0.07%
Poland,No Full-Time Job,38,3.0,0.07%
Portugal,No Full-Time Job,19,3.0,0.07%
Bulgaria,No Full-Time Job,41,3.0,0.07%
Netherlands,No Full-Time Job,17,3.0,0.07%
Romania,No Full-Time Job,50,3.0,0.07%
Netherlands,No Full-Time Job,58,3.0,0.07%
Netherlands,No Full-Time Job,57,3.0,0.07%
Romania,No Full-Time Job,43,3.0,0.07%
Slovakia,No Full-Time Job,16,3.0,0.07%
Germany,No Full-Time Job,65,3.0,0.07%
Germany,No Full-Time Job,64,3.0,0.07%
Austria,No Full-Time Job,14,3.0,0.07%
Greece,No Full-Time Job,17,3.0,0.07%
Netherlands,No Full-Time Job,62,3.0,0.07%
Austria,No Full-Time Job,20,3.0,0.07%
Austria,No Full-Time Job,31,3.0,0.07%
Germany,No Full-Time Job,56,3.0,0.07%
Netherlands,No Full-Time Job,44,3.0,0.07%
Belgium,No Full-Time Job,16,3.0,0.07%
Belgium,No Full-Time Job,17,3.0,0.07%
Netherlands,No Full-Time Job,41,3.0,0.07%
Belgium,No Full-Time Job,27,3.0,0.07%
Netherlands,No Full-Time Job,27,3.0,0.07%
Belgium,No Full-Time Job,42,3.0,0.07%
Belgium,No Full-Time Job,48,3.0,0.07%
Italy,No Full-Time Job,61,3.0,0.07%
Belgium,No Full-Time Job,53,3.0,0.07%
Belgium,No Full-Time Job,56,3.0,0.07%
United Kingdom,No Full-Time Job,23,3.0,0.07%
Bulgaria,No Full-Time Job,18,3.0,0.07%
Bulgaria,No Full-Time Job,20,3.0,0.07%
Romania,No Full-Time Job,17,3.0,0.07%
United Kingdom,Data Coordinator,48,3.0,0.07%
Italy,No Full-Time Job,37,3.0,0.07%
Spain,No Full-Time Job,59,3.0,0.07%
Finland,No Full-Time Job,16,3.0,0.07%
Czechia,No Full-Time Job,22,3.0,0.07%
Hungary,No Full-Time Job,64,3.0,0.07%
Spain,No Full-Time Job,63,3.0,0.07%
Poland,No Full-Time Job,56,3.0,0.07%
Portugal,No Full-Time Job,39,3.0,0.07%
Czechia,No Full-Time Job,23,3.0,0.07%
Portugal,No Full-Time Job,34,3.0,0.07%
Poland,No Full-Time Job,48,3.0,0.07%
Italy,Database Modeler,46,3.0,0.07%
Poland,No Full-Time Job,41,3.0,0.07%
Czechia,No Full-Time Job,30,3.0,0.07%
Czechia,No Full-Time Job,43,3.0,0.07%
Sweden,No Full-Time Job,14,3.0,0.07%
Sweden,No Full-Time Job,44,3.0,0.07%
Italy,No Full-Time Job,36,3.0,0.07%
Denmark,No Full-Time Job,56,3.0,0.07%
Denmark,No Full-Time Job,22,3.0,0.07%
Denmark,No Full-Time Job,24,3.0,0.07%
Denmark,No Full-Time Job,30,3.0,0.07%
Sweden,No Full-Time Job,20,3.0,0.07%
Denmark,No Full-Time Job,47,3.0,0.07%
Spain,No Full-Time Job,60,3.0,0.07%
Sweden,No Full-Time Job,18,3.0,0.07%
Ireland,No Full-Time Job,50,3.0,0.07%
Italy,No Full-Time Job,59,3.0,0.07%
Ireland,No Full-Time Job,59,3.0,0.07%
Hungary,No Full-Time Job,22,3.0,0.07%
France,Database Modeler,34,3.0,0.07%
Italy,No Full-Time Job,57,3.0,0.07%
France,Data Warehouse Analyst,49,3.0,0.07%
Portugal,No Full-Time Job,48,3.0,0.07%
Portugal,No Full-Time Job,45,3.0,0.07%
Ireland,No Full-Time Job,32,3.0,0.07%
Spain,No Full-Time Job,30,3.0,0.07%
Portugal,No Full-Time Job,21,3.0,0.07%
Spain,No Full-Time Job,38,3.0,0.07%
Ireland,No Full-Time Job,16,3.0,0.07%
Netherlands,No Full-Time Job,23,2.0,0.05%
Netherlands,No Full-Time Job,54,2.0,0.05%
Portugal,No Full-Time Job,22,2.0,0.05%
Romania,No Full-Time Job,49,2.0,0.05%
Ireland,No Full-Time Job,20,2.0,0.05%
Ireland,No Full-Time Job,19,2.0,0.05%
Poland,No Full-Time Job,64,2.0,0.05%
Ireland,No Full-Time Job,56,2.0,0.05%
Ireland,No Full-Time Job,57,2.0,0.05%
Italy,Data Scientist,37,2.0,0.05%
Italy,Data Warehouse Analyst,50,2.0,0.05%
Italy,Data Coordinator,27,2.0,0.05%
Netherlands,No Full-Time Job,38,2.0,0.05%
Netherlands,No Full-Time Job,40,2.0,0.05%
Romania,No Full-Time Job,60,2.0,0.05%
Poland,Oracle Database Administrator (Oracle DBA),26,2.0,0.05%
Netherlands,No Full-Time Job,42,2.0,0.05%
Poland,No Full-Time Job,49,2.0,0.05%
Hungary,No Full-Time Job,16,2.0,0.05%
Portugal,No Full-Time Job,30,2.0,0.05%
Italy,No Full-Time Job,63,2.0,0.05%
Greece,No Full-Time Job,38,2.0,0.05%
Hungary,No Full-Time Job,48,2.0,0.05%
Greece,No Full-Time Job,42,2.0,0.05%
Hungary,No Full-Time Job,34,2.0,0.05%
Portugal,No Full-Time Job,50,2.0,0.05%
Greece,No Full-Time Job,49,2.0,0.05%
Romania,No Full-Time Job,25,2.0,0.05%
Hungary,No Full-Time Job,24,2.0,0.05%
Portugal,No Full-Time Job,31,2.0,0.05%
Greece,No Full-Time Job,57,2.0,0.05%
Hungary,No Full-Time Job,23,2.0,0.05%
Romania,No Full-Time Job,19,2.0,0.05%
Portugal,No Full-Time Job,20,2.0,0.05%
Poland,No Full-Time Job,40,2.0,0.05%
Romania,No Full-Time Job,14,2.0,0.05%
Romania,Geographic Information Systems Data Manager (GIS Data Manager),47,2.0,0.05%
Hungary,No Full-Time Job,50,2.0,0.05%
Greece,No Full-Time Job,35,2.0,0.05%
Romania,No Full-Time Job,36,2.0,0.05%
Portugal,No Full-Time Job,44,2.0,0.05%
Hungary,No Full-Time Job,14,2.0,0.05%
Poland,Data Coordinator,40,2.0,0.05%
Poland,Data Coordinator,44,2.0,0.05%
Poland,Data Warehouse Analyst,44,2.0,0.05%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),45,2.0,0.05%
Lithuania,No Full-Time Job,19,2.0,0.05%
Portugal,No Full-Time Job,40,2.0,0.05%
Hungary,No Full-Time Job,65,2.0,0.05%
Hungary,No Full-Time Job,60,2.0,0.05%
Romania,No Full-Time Job,39,2.0,0.05%
Hungary,No Full-Time Job,59,2.0,0.05%
Latvia,No Full-Time Job,30,2.0,0.05%
Hungary,No Full-Time Job,55,2.0,0.05%
Hungary,No Full-Time Job,52,2.0,0.05%
Greece,No Full-Time Job,31,2.0,0.05%
Romania,No Full-Time Job,57,2.0,0.05%
United Kingdom,Oracle Database Administrator (Oracle DBA),55,2.0,0.05%
Sweden,No Full-Time Job,19,2.0,0.05%
Sweden,No Full-Time Job,42,2.0,0.05%
Germany,Data Coordinator,41,2.0,0.05%
Sweden,No Full-Time Job,48,2.0,0.05%
Spain,Data Coordinator,49,2.0,0.05%
Czechia,No Full-Time Job,42,2.0,0.05%
Czechia,No Full-Time Job,45,2.0,0.05%
Czechia,No Full-Time Job,47,2.0,0.05%
Czechia,No Full-Time Job,48,2.0,0.05%
Sweden,No Full-Time Job,45,2.0,0.05%
Spain,Data Coordinator,39,2.0,0.05%
Spain,No Full-Time Job,31,2.0,0.05%
France,Data Coordinator,20,2.0,0.05%
France,Data Scientist,44,2.0,0.05%
Finland,No Full-Time Job,51,2.0,0.05%
Finland,No Full-Time Job,50,2.0,0.05%
Finland,No Full-Time Job,34,2.0,0.05%
Finland,No Full-Time Job,33,2.0,0.05%
Spain,No Full-Time Job,58,2.0,0.05%
Spain,No Full-Time Job,61,2.0,0.05%
Germany,Data Scientist,36,2.0,0.05%
Sweden,No Full-Time Job,39,2.0,0.05%
Slovenia,No Full-Time Job,27,2.0,0.05%
Bulgaria,No Full-Time Job,52,2.0,0.05%
Czechia,No Full-Time Job,39,2.0,0.05%
Bulgaria,No Full-Time Job,65,2.0,0.05%
Bulgaria,No Full-Time Job,40,2.0,0.05%
France,Oracle Database Administrator (Oracle DBA),35,2.0,0.05%
Cyprus,No Full-Time Job,16,2.0,0.05%
Croatia,No Full-Time Job,63,2.0,0.05%
United Kingdom,Data Coordinator,39,2.0,0.05%
France,Database Modeler,46,2.0,0.05%
France,No Full-Time Job,56,2.0,0.05%
Czechia,No Full-Time Job,14,2.0,0.05%
France,No Full-Time Job,64,2.0,0.05%
Croatia,No Full-Time Job,35,2.0,0.05%
Spain,Data Warehouse Analyst,41,2.0,0.05%
Czechia,No Full-Time Job,16,2.0,0.05%
Croatia,No Full-Time Job,29,2.0,0.05%
United Kingdom,Database Modeler,48,2.0,0.05%
Croatia,No Full-Time Job,26,2.0,0.05%
Croatia,No Full-Time Job,23,2.0,0.05%
France,Database Modeler,42,2.0,0.05%
Czechia,No Full-Time Job,21,2.0,0.05%
Spain,Data Scientist,40,2.0,0.05%
Spain,No Full-Time Job,14,2.0,0.05%
Sweden,No Full-Time Job,17,2.0,0.05%
Czechia,No Full-Time Job,29,2.0,0.05%
United Kingdom,Database Modeler,44,2.0,0.05%
Sweden,No Full-Time Job,51,2.0,0.05%
Slovenia,No Full-Time Job,23,2.0,0.05%
Sweden,No Full-Time Job,40,2.0,0.05%
Germany,Geographic Information Systems Data Manager (GIS Data Manager),40,2.0,0.05%
Sweden,No Full-Time Job,24,2.0,0.05%
Denmark,No Full-Time Job,21,2.0,0.05%
Belgium,No Full-Time Job,25,2.0,0.05%
Belgium,No Full-Time Job,24,2.0,0.05%
Sweden,No Full-Time Job,22,2.0,0.05%
Slovakia,No Full-Time Job,22,2.0,0.05%
Germany,Data Warehouse Analyst,40,2.0,0.05%
Belgium,No Full-Time Job,22,2.0,0.05%
Belgium,No Full-Time Job,21,2.0,0.05%
Germany,Geographic Information Systems Data Manager (GIS Data Manager),41,2.0,0.05%
Belgium,No Full-Time Job,20,2.0,0.05%
United Kingdom,Oracle Database Administrator (Oracle DBA),28,2.0,0.05%
Sweden,No Full-Time Job,23,2.0,0.05%
Belgium,No Full-Time Job,14,2.0,0.05%
Germany,No Full-Time Job,62,2.0,0.05%
Austria,No Full-Time Job,64,2.0,0.05%
Germany,Oracle Database Administrator (Oracle DBA),30,2.0,0.05%
Austria,No Full-Time Job,47,2.0,0.05%
Germany,Oracle Database Administrator (Oracle DBA),42,2.0,0.05%
Austria,No Full-Time Job,36,2.0,0.05%
Denmark,No Full-Time Job,23,2.0,0.05%
Germany,Oracle Database Administrator (Oracle DBA),33,2.0,0.05%
Austria,No Full-Time Job,30,2.0,0.05%
