uuid,country_code,rural
a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,AT,rural
581cec00-da3e-0133-cc6b-0a81e8b09a82,AT,urban
cf24ed60-da3f-0133-0034-0a81e8b09a82,AT,Country
03d9e160-da33-0133-b694-0a81e8b09a82,AT,urban
c8ab8660-daf3-0133-b467-0a81e8b09a82,AT,city
5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,AT,urban
3f32d3c0-dbd5-0133-e559-0a81e8b09a82,AT,Country
c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,AT,Country
2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,AT,rural
4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,AT,urban
d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,AT,rural
8c014b80-da49-0133-fd69-0a81e8b09a82,AT,rural
0e383540-dad5-0133-3be7-0a81e8b09a82,AT,urban
e75d0b00-d9b1-0133-043b-0a81e8b09a82,AT,rural
9cd06680-da89-0133-519f-0a81e8b09a82,AT,urban
b3fc91b0-db3a-0133-505a-0a81e8b09a82,AT,rural
2eea8620-dbeb-0133-3910-0a81e8b09a82,AT,Country
b8616bf0-dd85-0133-dabb-0a81e8b09a82,AT,Country
50e1e660-de3a-0133-589e-0a81e8b09a82,AT,city
66867d70-de2e-0133-fd0b-0a81e8b09a82,AT,Non-Rural
9567fd10-da36-0133-f91e-0a81e8b09a82,AT,city
e55a9780-d98f-0133-f7be-0a81e8b09a82,AT,Non-Rural
5eaadd90-da5a-0133-3d70-0a81e8b09a82,AT,rural
ca3f65f0-d92b-0133-3959-0a81e8b09a82,AT,rural
c8394f00-d9f4-0133-fe97-0a81e8b09a82,AT,city
dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,AT,city
437716a0-da35-0133-f2f5-0a81e8b09a82,AT,urban
8cc018b0-de4b-0133-0bcd-0a81e8b09a82,AT,urban
7c2e43a0-da1a-0133-acda-0a81e8b09a82,AT,Non-Rural
b9dbcc80-da2b-0133-481e-0a81e8b09a82,AT,city
89977480-d9bc-0133-b906-0a81e8b09a82,AT,Non-Rural
11cf6080-dc70-0133-8090-0a81e8b09a82,AT,urban
6aa21d60-deec-0133-20b3-0a81e8b09a82,AT,urban
08159f30-dbf8-0133-74d8-0a81e8b09a82,AT,Non-Rural
5f772780-dd7d-0133-5e86-0a81e8b09a82,AT,urban
996a7cf0-d98b-0133-a5d7-0a81e8b09a82,AT,Country
88d64de0-d9eb-0133-a46b-0a81e8b09a82,AT,rural
d2a9a650-d964-0133-4678-0a81e8b09a82,AT,urban
7a3932b0-da34-0133-8caf-0a81e8b09a82,AT,urban
54fcb0f0-da1c-0133-efb9-0a81e8b09a82,AT,rural
c7ec06f0-d94c-0133-0451-0a81e8b09a82,AT,Non-Rural
1ab814f0-dba0-0133-a033-0a81e8b09a82,AT,countryside
994969a0-dca5-0133-b593-0a81e8b09a82,AT,countryside
5f4a8e40-dbd4-0133-e162-0a81e8b09a82,AT,Non-Rural
fc590270-de6a-0133-72af-0a81e8b09a82,AT,rural
2152fc80-d9ae-0133-8d7e-0a81e8b09a82,AT,urban
1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,AT,countryside
51f5c5c0-de40-0133-1e9a-0a81e8b09a82,AT,urban
18a82df0-d8ec-0133-a131-0a81e8b09a82,AT,rural
eef7cc30-de4e-0133-1438-0a81e8b09a82,AT,rural
296e4480-d8e9-0133-c3ad-0a81e8b09a82,AT,city
5984b3b0-d8e0-0133-b014-0a81e8b09a82,AT,urban
81f6b2a0-de56-0133-2850-0a81e8b09a82,AT,urban
19aab9f0-da4f-0133-ee5a-0a81e8b09a82,AT,urban
7baa89f0-da4e-0133-4b77-0a81e8b09a82,AT,Country
e1bf7cc0-dd32-0133-4401-0a81e8b09a82,AT,rural
faf3d380-db0f-0133-0e2e-0a81e8b09a82,AT,rural
4cef99b0-db53-0133-e7f4-0a81e8b09a82,AT,rural
1325ab20-da32-0133-b1b6-0a81e8b09a82,AT,urban
c5471020-dad1-0133-487e-0a81e8b09a82,AT,Country
18a1c2e0-d8ed-0133-39aa-0a81e8b09a82,AT,urban
ce058e90-daf1-0133-4389-0a81e8b09a82,AT,countryside
2a8036a0-d963-0133-41de-0a81e8b09a82,AT,rural
80def8a0-da1e-0133-f7df-0a81e8b09a82,AT,Country
baa9e380-da6a-0133-0cb9-0a81e8b09a82,AT,urban
b189d930-dd84-0133-d6b4-0a81e8b09a82,AT,Non-Rural
3174f780-d9f2-0133-2fe7-0a81e8b09a82,AT,urban
93241690-da78-0133-8088-0a81e8b09a82,AT,urban
28b98f30-dc00-0133-fa39-0a81e8b09a82,AT,rural
b8d60b60-d9f1-0133-2f47-0a81e8b09a82,AT,city
106af710-d93c-0133-bebf-0a81e8b09a82,AT,rural
98a08950-de43-0133-5c1f-0a81e8b09a82,AT,Country
0b5eea70-dcdd-0133-3f72-0a81e8b09a82,AT,rural
6ad69c40-da2f-0133-a693-0a81e8b09a82,AT,Country
ca9ed810-dcb8-0133-8981-0a81e8b09a82,AT,rural
1aa394e0-de0f-0133-f6e2-0a81e8b09a82,AT,countryside
5a5158c0-d9b3-0133-1b13-0a81e8b09a82,AT,rural
b98bbaf0-d96e-0133-06ef-0a81e8b09a82,AT,rural
59995f50-ddfe-0133-cae9-0a81e8b09a82,AT,urban
2456bcf0-d8dc-0133-9b88-0a81e8b09a82,AT,urban
3b67ca50-d9c7-0133-9519-0a81e8b09a82,AT,urban
aea66f50-da5c-0133-132d-0a81e8b09a82,AT,urban
f8f95970-da28-0133-75d2-0a81e8b09a82,AT,urban
f8fca690-de54-0133-23b6-0a81e8b09a82,AT,urban
a96ac600-da2f-0133-a7cd-0a81e8b09a82,AT,rural
8dd40a20-de67-0133-95b6-0a81e8b09a82,AT,Country
5586f290-d972-0133-f6e5-0a81e8b09a82,AT,urban
cd77ebc0-de28-0133-657e-0a81e8b09a82,AT,Non-Rural
dcab3aa0-dc79-0133-412b-0a81e8b09a82,BE,urban
2fb4da70-dcef-0133-cafd-0a81e8b09a82,BE,urban
73771070-d8ec-0133-ae53-0a81e8b09a82,BE,urban
3aa979b0-d93d-0133-c00b-0a81e8b09a82,BE,rural
11c6e300-deb8-0133-5b60-0a81e8b09a82,BE,urban
ed7e4bd0-d987-0133-3f9e-0a81e8b09a82,BE,rural
b5d05310-db4b-0133-8b2f-0a81e8b09a82,BE,rural
121a3240-da4d-0133-f0f0-0a81e8b09a82,BE,city
4d9509f0-da6a-0133-09b5-0a81e8b09a82,BE,countryside
8dfcc530-db0e-0133-8410-0a81e8b09a82,BE,urban
048fbb80-dc5a-0133-a54f-0a81e8b09a82,BE,rural
ca337e10-da5d-0133-641c-0a81e8b09a82,BE,Non-Rural
2cc5e840-d934-0133-4268-0a81e8b09a82,BE,rural
4eaae960-da52-0133-f491-0a81e8b09a82,BE,urban
d9175790-dc02-0133-8239-0a81e8b09a82,BE,city
ba68f010-da39-0133-ede7-0a81e8b09a82,BE,Non-Rural
31d510e0-dc3d-0133-6587-0a81e8b09a82,BE,urban
279391e0-d8bb-0133-07fa-0a81e8b09a82,BE,Country
e3950230-dd3f-0133-216f-0a81e8b09a82,BE,city
28c237e0-da4c-0133-533b-0a81e8b09a82,BE,Non-Rural
902829b0-de49-0133-6b2f-0a81e8b09a82,BE,rural
c46dd5d0-daf5-0133-326e-0a81e8b09a82,BE,urban
674d27f0-db16-0133-e93d-0a81e8b09a82,BE,urban
e2999ae0-dad7-0133-12f2-0a81e8b09a82,BE,city
482c72f0-d902-0133-c73e-0a81e8b09a82,BE,rural
9a2478d0-da5f-0133-c83a-0a81e8b09a82,BE,city
8034c360-db44-0133-8ef7-0a81e8b09a82,BE,urban
88424430-defa-0133-0f5f-0a81e8b09a82,BE,countryside
5e4592b0-de0c-0133-f22f-0a81e8b09a82,BE,Country
d73155f0-d9ba-0133-fe9f-0a81e8b09a82,BE,rural
1926eaf0-dd85-0133-d85d-0a81e8b09a82,BE,Country
52a3acf0-da6f-0133-e888-0a81e8b09a82,BE,urban
411d4bc0-deef-0133-795b-0a81e8b09a82,BE,rural
154739b0-dced-0133-c4db-0a81e8b09a82,BE,urban
10e5df00-dd3a-0133-0ead-0a81e8b09a82,BE,rural
a5396df0-d98e-0133-f2a3-0a81e8b09a82,BE,Non-Rural
a5355130-da8c-0133-c7ee-0a81e8b09a82,BE,Non-Rural
39d48260-dd36-0133-0358-0a81e8b09a82,BE,urban
b63ed850-dcb8-0133-8926-0a81e8b09a82,BE,city
1afd0e10-d9ae-0133-8d6b-0a81e8b09a82,BE,rural
f4824dd0-dafa-0133-a87a-0a81e8b09a82,BE,Non-Rural
4e1ac160-d982-0133-758d-0a81e8b09a82,BE,city
96c62760-d8d4-0133-62ed-0a81e8b09a82,BE,countryside
fd9e7290-dad7-0133-1337-0a81e8b09a82,BE,urban
2b4a10d0-db2d-0133-d818-0a81e8b09a82,BE,urban
c9337360-db95-0133-d531-0a81e8b09a82,BE,urban
c75ffdb0-d95d-0133-765b-0a81e8b09a82,BE,Non-Rural
9ffc7390-dba5-0133-259b-0a81e8b09a82,BE,Country
ce2197d0-da69-0133-065d-0a81e8b09a82,BE,Non-Rural
35610710-dc10-0133-0ad8-0a81e8b09a82,BE,rural
76c4d450-da3b-0133-dedb-0a81e8b09a82,BE,rural
3c862650-da54-0133-8d15-0a81e8b09a82,BE,urban
89b205e0-d975-0133-3945-0a81e8b09a82,BE,city
ccae52d0-dc67-0133-f45f-0a81e8b09a82,BE,rural
d5ce2260-dbb3-0133-bcd9-0a81e8b09a82,BE,Country
2bc14200-dcbd-0133-5a24-0a81e8b09a82,BE,rural
f6c99d10-d8f8-0133-b5eb-0a81e8b09a82,BE,city
5c67f030-dcc7-0133-e8f6-0a81e8b09a82,BE,urban
28c4dea0-da77-0133-7804-0a81e8b09a82,BE,city
9e99d970-d9b8-0133-d807-0a81e8b09a82,BE,city
079d2660-daf1-0133-40dd-0a81e8b09a82,BE,Non-Rural
2dfa5f60-d941-0133-c589-0a81e8b09a82,BE,rural
ad832440-dae3-0133-3472-0a81e8b09a82,BE,urban
11e48430-d9cc-0133-0caa-0a81e8b09a82,BE,countryside
0b072e10-daf8-0133-9680-0a81e8b09a82,BE,Non-Rural
365ce720-d9bb-0133-b3f4-0a81e8b09a82,BE,urban
720f84e0-da1a-0133-ac9e-0a81e8b09a82,BE,urban
cbd8fe30-dbb5-0133-49be-0a81e8b09a82,BE,rural
55dc1140-da1b-0133-af90-0a81e8b09a82,BE,urban
9943e950-dd22-0133-9adf-0a81e8b09a82,BE,Country
18e7ba30-d9dc-0133-9671-0a81e8b09a82,BE,rural
fa4adae0-dc1f-0133-dc65-0a81e8b09a82,BE,Non-Rural
2fae8710-d99f-0133-9ac2-0a81e8b09a82,BE,city
78156750-d949-0133-1a02-0a81e8b09a82,BE,city
81630900-dcb8-0133-ef51-0a81e8b09a82,BE,urban
2bc31fc0-dacd-0133-7ae0-0a81e8b09a82,BE,urban
5fcac6c0-dad5-0133-3d17-0a81e8b09a82,BE,Country
4f083df0-da5a-0133-3d06-0a81e8b09a82,BE,countryside
ac53fcf0-dcab-0133-cbb5-0a81e8b09a82,BE,urban
05ec6620-da6f-0133-e6b2-0a81e8b09a82,BE,urban
6c646dd0-d988-0133-9904-0a81e8b09a82,BE,urban
92c27100-d9d0-0133-c4db-0a81e8b09a82,BE,countryside
2fe43a00-d941-0133-c58e-0a81e8b09a82,BE,city
49f476a0-dadf-0133-25cc-0a81e8b09a82,BE,Non-Rural
05fde350-dcaa-0133-c61c-0a81e8b09a82,BE,urban
b32e3370-db21-0133-0eff-0a81e8b09a82,BE,city
28902e30-dcb0-0133-a69e-0a81e8b09a82,BE,urban
a3a7b940-d8f1-0133-1602-0a81e8b09a82,BE,urban
d24f93e0-da48-0133-3d38-0a81e8b09a82,BE,city
1beef120-da09-0133-208d-0a81e8b09a82,BE,countryside
23492790-d8f9-0133-b638-0a81e8b09a82,BE,rural
691e8910-dd69-0133-d6c7-0a81e8b09a82,BE,rural
afad4050-de63-0133-8b76-0a81e8b09a82,BE,countryside
4c5021d0-da87-0133-e7a4-0a81e8b09a82,BE,urban
21ef14d0-dc83-0133-eb54-0a81e8b09a82,BE,city
3de45ce0-dd38-0133-094d-0a81e8b09a82,BE,Non-Rural
681aecb0-d959-0133-5c2c-0a81e8b09a82,BE,urban
dbc1f9b0-dc10-0133-0d5b-0a81e8b09a82,BE,countryside
60c5e510-da24-0133-f156-0a81e8b09a82,BE,Country
4b9eb3e0-db19-0133-3d8e-0a81e8b09a82,BE,Non-Rural
d3e0dad0-da6e-0133-e56e-0a81e8b09a82,BE,urban
0df2ad10-dcd2-0133-9cd6-0a81e8b09a82,BE,city
e0f9a3b0-d98c-0133-f061-0a81e8b09a82,BE,Non-Rural
83b04b10-db3d-0133-da61-0a81e8b09a82,BE,Country
d220fad0-d9a9-0133-828b-0a81e8b09a82,BE,city
8ba9cd50-d8ad-0133-6e28-0a81e8b09a82,BE,rural
5f326eb0-da6a-0133-0a54-0a81e8b09a82,BE,rural
4022a650-da6b-0133-1057-0a81e8b09a82,BE,Non-Rural
fb8cd6f0-db3c-0133-4604-0a81e8b09a82,BE,city
9a467480-dcaf-0133-a462-0a81e8b09a82,BE,urban
bd07f440-da51-0133-f0a9-0a81e8b09a82,BE,urban
917dd2a0-d955-0133-89f1-0a81e8b09a82,BE,urban
8857b610-dc8e-0133-4bf7-0a81e8b09a82,BE,city
986f8800-da55-0133-476f-0a81e8b09a82,BE,city
13f43320-dd40-0133-21ed-0a81e8b09a82,BE,urban
a60c3d40-dcaa-0133-c82f-0a81e8b09a82,BE,Country
f30223b0-d950-0133-5b67-0a81e8b09a82,BE,urban
cd5c6a90-d9a9-0133-826f-0a81e8b09a82,BE,rural
585e45f0-d994-0133-a3f6-0a81e8b09a82,BE,countryside
260b75a0-dc77-0133-38d8-0a81e8b09a82,BE,rural
cb233740-d906-0133-cee6-0a81e8b09a82,BE,city
a534ee30-d977-0133-0bbc-0a81e8b09a82,BE,rural
1f5c2970-da12-0133-929e-0a81e8b09a82,BE,urban
ca4b3290-d995-0133-fb70-0a81e8b09a82,BE,city
a5e54ad0-df0b-0133-fe8a-0a81e8b09a82,BE,rural
2514d3c0-dbde-0133-4c7f-0a81e8b09a82,BE,Country
bc41f880-dd4d-0133-fba5-0a81e8b09a82,BE,city
14280100-dbea-0133-35b0-0a81e8b09a82,BE,Country
169af7e0-da78-0133-7dcc-0a81e8b09a82,BE,Non-Rural
d56d0a60-da6f-0133-eb85-0a81e8b09a82,BE,urban
d1b45750-db1c-0133-4d29-0a81e8b09a82,BE,urban
2d942760-da74-0133-10cb-0a81e8b09a82,BE,urban
3bc291f0-db63-0133-06ac-0a81e8b09a82,BE,city
e789f760-db38-0133-48be-0a81e8b09a82,BE,rural
a5b4c5e0-db5b-0133-db35-0a81e8b09a82,BE,rural
ae9eb000-d8db-0133-9a27-0a81e8b09a82,BE,urban
acce6f50-dc15-0133-33e4-0a81e8b09a82,BE,urban
c8a75460-d9f9-0133-07e9-0a81e8b09a82,BE,urban
1a19beb0-dc26-0133-4fec-0a81e8b09a82,BE,urban
3b9d1070-dc2d-0133-5bfb-0a81e8b09a82,BE,Country
9e839220-da3c-0133-6b31-0a81e8b09a82,BE,rural
fc8164c0-da3f-0133-d922-0a81e8b09a82,BE,urban
6ef0f800-daf8-0133-f1b6-0a81e8b09a82,BE,urban
676428a0-da75-0133-3045-0a81e8b09a82,BE,rural
7c3794b0-de52-0133-1d4b-0a81e8b09a82,BE,Country
f85c3fd0-d8b2-0133-f59e-0a81e8b09a82,BE,Country
23b9a0e0-dcd1-0133-96e7-0a81e8b09a82,BE,Non-Rural
bc7ccc90-dd3b-0133-7288-0a81e8b09a82,BE,Non-Rural
cf8301c0-d96d-0133-0383-0a81e8b09a82,BE,rural
9e789300-da43-0133-6717-0a81e8b09a82,BE,urban
3a976580-dd6b-0133-f082-0a81e8b09a82,BE,rural
9b8783a0-d9a9-0133-8173-0a81e8b09a82,BE,city
f333ba70-d8bf-0133-111f-0a81e8b09a82,BE,Non-Rural
bc0ccb80-ddf7-0133-2628-0a81e8b09a82,BE,Country
328fb5d0-dd2f-0133-be6f-0a81e8b09a82,BE,Non-Rural
9e43e5c0-dac1-0133-c6fc-0a81e8b09a82,BE,Non-Rural
01650240-da8e-0133-cc2e-0a81e8b09a82,BE,urban
e99fa060-dbde-0133-9769-0a81e8b09a82,BE,Country
a6361230-da58-0133-cd5a-0a81e8b09a82,BE,urban
5bbb2320-db06-0133-c0ce-0a81e8b09a82,BE,city
d49e3440-da75-0133-3373-0a81e8b09a82,BE,Country
3f240350-dcdd-0133-404e-0a81e8b09a82,BE,rural
7bfa9de0-dd4a-0133-40d2-0a81e8b09a82,BE,Non-Rural
5e758cc0-db05-0133-63ad-0a81e8b09a82,BE,Country
36359700-da1f-0133-fa9a-0a81e8b09a82,BE,city
d618b1a0-dc04-0133-dc0f-0a81e8b09a82,BE,city
b62d1cd0-deaf-0133-5130-0a81e8b09a82,BE,rural
b8d7f100-daae-0133-a546-0a81e8b09a82,BE,rural
a3b40110-d915-0133-4fea-0a81e8b09a82,BE,urban
a04028b0-dcb8-0133-eff5-0a81e8b09a82,BE,rural
5889bd30-d983-0133-7a4a-0a81e8b09a82,BE,rural
34c497e0-dd6c-0133-f46f-0a81e8b09a82,BE,city
9b1600f0-da4b-0133-27da-0a81e8b09a82,BE,city
bb9ce760-dbc1-0133-db7e-0a81e8b09a82,BE,Country
b0330610-da56-0133-892b-0a81e8b09a82,BE,Non-Rural
5bab1290-da3d-0133-c676-0a81e8b09a82,BE,rural
5343b180-d9b7-0133-9af6-0a81e8b09a82,BE,Non-Rural
ef9fd160-da42-0133-62f9-0a81e8b09a82,BE,city
82c41290-d967-0133-721d-0a81e8b09a82,BE,Country
c5133fb0-dad4-0133-3b1b-0a81e8b09a82,BG,Non-Rural
c6679d80-dafd-0133-5da9-0a81e8b09a82,BG,Non-Rural
6187b080-da34-0133-8c46-0a81e8b09a82,BG,city
0c3c2f60-d968-0133-7430-0a81e8b09a82,BG,city
d2a43a20-da53-0133-8a24-0a81e8b09a82,BG,urban
62309370-d97b-0133-c78d-0a81e8b09a82,BG,city
7ac51690-da27-0133-6f07-0a81e8b09a82,BG,Country
90c936c0-d8d2-0133-5d6a-0a81e8b09a82,BG,rural
55331d10-d976-0133-06db-0a81e8b09a82,BG,urban
44e7ecf0-da2a-0133-3e8c-0a81e8b09a82,BG,rural
1e612c00-da58-0133-8fdc-0a81e8b09a82,BG,urban
25b6e390-da56-0133-8edc-0a81e8b09a82,BG,Non-Rural
b5ca4d50-dbc4-0133-9146-0a81e8b09a82,BG,urban
aa6d0cf0-da3c-0133-c290-0a81e8b09a82,BG,rural
9a0a5db0-d9ba-0133-dfb6-0a81e8b09a82,BG,urban
876f8ca0-d98f-0133-f64e-0a81e8b09a82,BG,urban
a49296b0-d9e8-0133-cfa7-0a81e8b09a82,BG,urban
46da35a0-d974-0133-15d4-0a81e8b09a82,BG,urban
0dda4bb0-d8e4-0133-ba74-0a81e8b09a82,BG,urban
2762a830-d994-0133-a32b-0a81e8b09a82,BG,Non-Rural
353cf940-da2d-0133-7fac-0a81e8b09a82,BG,urban
eb3c08e0-d966-0133-fb39-0a81e8b09a82,BG,urban
321c19d0-da30-0133-aa56-0a81e8b09a82,BG,Non-Rural
a255d240-da21-0133-e54d-0a81e8b09a82,BG,Non-Rural
b353cef0-d970-0133-9379-0a81e8b09a82,BG,urban
cb6e0670-d8f3-0133-a9e8-0a81e8b09a82,BG,urban
bdd81e20-dae9-0133-49d3-0a81e8b09a82,BG,city
07a94330-d932-0133-3fc5-0a81e8b09a82,BG,urban
2cd5f790-d981-0133-f53c-0a81e8b09a82,BG,Non-Rural
fc3e2c60-da46-0133-0fc0-0a81e8b09a82,BG,urban
51c24860-d940-0133-c44a-0a81e8b09a82,BG,city
f75f5950-d994-0133-f7a8-0a81e8b09a82,BG,urban
300a7300-d940-0133-c426-0a81e8b09a82,BG,urban
1e2b4750-d987-0133-3c7c-0a81e8b09a82,BG,urban
57ca6210-da59-0133-d25c-0a81e8b09a82,BG,urban
a68728f0-d92e-0133-3c67-0a81e8b09a82,BG,rural
d5464320-d8d2-0133-5e81-0a81e8b09a82,BG,urban
c9b4c8c0-da8d-0133-cb72-0a81e8b09a82,BG,urban
42b32140-da2b-0133-45dd-0a81e8b09a82,BG,urban
67bd25c0-da23-0133-ed4d-0a81e8b09a82,BG,Non-Rural
3e282710-d8cf-0133-69a6-0a81e8b09a82,BG,urban
ac6ce6b0-d993-0133-6999-0a81e8b09a82,BG,urban
3f300750-d97a-0133-5751-0a81e8b09a82,BG,Non-Rural
f9be7a30-d9c6-0133-9486-0a81e8b09a82,BG,Non-Rural
56196950-d970-0133-9208-0a81e8b09a82,BG,urban
301dade0-da58-0133-905b-0a81e8b09a82,BG,Non-Rural
830a4b90-d94a-0133-8930-0a81e8b09a82,BG,urban
5304d350-d9d4-0133-d00c-0a81e8b09a82,BG,urban
2dd04700-d940-0133-c423-0a81e8b09a82,BG,Non-Rural
bd531620-da30-0133-ac3f-0a81e8b09a82,BG,urban
ae2fbd30-d983-0133-7bb8-0a81e8b09a82,BG,urban
8d912430-da2a-0133-3fe4-0a81e8b09a82,BG,urban
74cc4d00-d963-0133-427d-0a81e8b09a82,BG,city
110ab000-d8e1-0133-b213-0a81e8b09a82,BG,urban
4d716090-d984-0133-7ebc-0a81e8b09a82,BG,Non-Rural
decae590-d955-0133-8a8b-0a81e8b09a82,BG,Non-Rural
6e1ec7c0-da0c-0133-28f2-0a81e8b09a82,BG,urban
d6c28520-d981-0133-7348-0a81e8b09a82,BG,urban
55c4e520-da2f-0133-a61b-0a81e8b09a82,BG,Non-Rural
e5f5b3f0-dadb-0133-6159-0a81e8b09a82,BG,urban
00ddd310-d8d1-0133-5878-0a81e8b09a82,BG,urban
e3efe070-da41-0133-5bfc-0a81e8b09a82,BG,urban
51144e30-d8c9-0133-a1f0-0a81e8b09a82,BG,urban
500e8a90-d9b1-0133-012d-0a81e8b09a82,BG,urban
ce9f80c0-d94a-0133-89ac-0a81e8b09a82,BG,Non-Rural
5bf690d0-da30-0133-ab26-0a81e8b09a82,BG,Non-Rural
d0bf3b90-d98e-0133-f352-0a81e8b09a82,BG,urban
085181a0-d96c-0133-1a6b-0a81e8b09a82,BG,Non-Rural
6d595fe0-d958-0133-5a85-0a81e8b09a82,BG,urban
0c179720-da63-0133-3caa-0a81e8b09a82,BG,city
adf79f90-da4b-0133-a097-0a81e8b09a82,BG,city
63d13f10-d981-0133-f633-0a81e8b09a82,BG,urban
bedb8fa0-d981-0133-72eb-0a81e8b09a82,BG,urban
36eff540-da17-0133-a153-0a81e8b09a82,BG,rural
caa08bc0-da50-0133-373f-0a81e8b09a82,BG,city
273c6f80-dae7-0133-40e9-0a81e8b09a82,BG,Non-Rural
13f5a0b0-daea-0133-4aff-0a81e8b09a82,BG,rural
ebf371e0-d938-0133-ba83-0a81e8b09a82,BG,city
b0d0ef80-dbb6-0133-4cda-0a81e8b09a82,BG,city
0463a450-d8dd-0133-5aac-0a81e8b09a82,BG,Non-Rural
87180450-d8f7-0133-b322-0a81e8b09a82,BG,urban
5a8de400-da4e-0133-4a81-0a81e8b09a82,BG,urban
9c227610-d926-0133-33bd-0a81e8b09a82,BG,urban
6753cf30-db87-0133-bb32-0a81e8b09a82,BG,Non-Rural
4ed4d480-d942-0133-c717-0a81e8b09a82,BG,city
f4a9b250-db29-0133-cba7-0a81e8b09a82,BG,rural
e0e227e0-da0e-0133-fc5b-0a81e8b09a82,BG,urban
e5448270-d961-0133-cf3f-0a81e8b09a82,BG,urban
6bd1b9d0-d8cc-0133-618d-0a81e8b09a82,BG,urban
c85eefa0-db3d-0133-8bc5-0a81e8b09a82,BG,city
a4b03050-da50-0133-3639-0a81e8b09a82,BG,urban
41e17d40-da5e-0133-67a5-0a81e8b09a82,BG,urban
e6497150-da0f-0133-feb5-0a81e8b09a82,BG,city
04852950-d9d4-0133-cf28-0a81e8b09a82,BG,city
8407ff70-da31-0133-af53-0a81e8b09a82,BG,urban
20048ad0-d959-0133-5bc2-0a81e8b09a82,BG,urban
4724f180-da26-0133-6985-0a81e8b09a82,BG,urban
7978a9b0-d98e-0133-f1cb-0a81e8b09a82,BG,urban
b5e405c0-daf1-0133-433e-0a81e8b09a82,BG,Non-Rural
873b5910-da42-0133-6024-0a81e8b09a82,BG,Non-Rural
cb8499d0-d9a2-0133-adac-0a81e8b09a82,BG,Non-Rural
a2779100-da33-0133-ab51-0a81e8b09a82,BG,urban
f5cc6eb0-d9a8-0133-0d2a-0a81e8b09a82,BG,urban
