uuid,awareness,vote,effect,arguments_for,arguments_against
960b1ce0-db01-0133-528c-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working
d7912480-da41-0133-5bc1-0a81e8b09a82,I know something about it,I would vote against it,Stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
d468c670-da40-0133-de39-0a81e8b09a82,I know something about it,I would probably vote for it,Work as a freelancer,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
76767d10-dd6c-0133-f56d-0a81e8b09a82,I have never heard of it,I would probably vote against it,Gain additional skills,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
a96ed910-de55-0133-2582-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
68eace50-db46-0133-97f7-0a81e8b09a82,I have heard just a little about it,I would vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
aa342b50-dcc4-0133-f797-0a81e8b09a82,I understand it fully,I would probably vote against it,Gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
638a8b80-da45-0133-e8e1-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance
b1eb3870-decd-0133-d783-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working
1c8ea6b0-de3d-0133-605b-0a81e8b09a82,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
d31a5ea0-d969-0133-79f5-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working
2c1d6730-d970-0133-9161-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
307ce090-daf9-0133-f4f2-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
388a2f20-db3b-0133-570e-0a81e8b09a82,I know something about it,I would probably vote against it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
12cd5b70-dbd8-0133-0395-0a81e8b09a82,I have never heard of it,I would vote for it,Work less,None of the above,None of the above
684ad570-de3f-0133-705d-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
4c7898b0-dbdf-0133-993b-0a81e8b09a82,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
d911df50-d8f8-0133-b5b7-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,None of the above,It might encourage people to stop working
11c61a10-de3d-0133-6041-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state
ab8dbf10-da1c-0133-f11e-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
d13a4420-dee8-0133-05e2-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Work less,None of the above,None of the above
9699d060-da5b-0133-0ae5-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state
d30d1810-da47-0133-15c3-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state
9b532680-dc7d-0133-dcb5-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
0a8ed740-de42-0133-f3a6-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward
8d6c0630-dc17-0133-c863-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
1c4a0200-da22-0133-e797-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Gain additional skills,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
db1bf110-d8d7-0133-8ee6-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state
5441c1d0-d9a6-0133-55bc-0a81e8b09a82,I know something about it,I would vote against it,Work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,I know something about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
581cec00-da3e-0133-cc6b-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working
cf24ed60-da3f-0133-0034-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
03d9e160-da33-0133-b694-0a81e8b09a82,I understand it fully,I would vote against it,None of the above,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state
c8ab8660-daf3-0133-b467-0a81e8b09a82,I understand it fully,I would probably vote for it,Work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
3f32d3c0-dbd5-0133-e559-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working
c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance
2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,I know something about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
8c014b80-da49-0133-fd69-0a81e8b09a82,I understand it fully,I would vote for it,Work less,It creates more equality of opportunity,It might encourage people to stop working
0e383540-dad5-0133-3be7-0a81e8b09a82,I have heard just a little about it,I would vote for it,Do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working
e75d0b00-d9b1-0133-043b-0a81e8b09a82,I have heard just a little about it,I would vote against it,Look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
9cd06680-da89-0133-519f-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
b3fc91b0-db3a-0133-505a-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
2eea8620-dbeb-0133-3910-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working
b8616bf0-dd85-0133-dabb-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state
50e1e660-de3a-0133-589e-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
66867d70-de2e-0133-fd0b-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working
9567fd10-da36-0133-f91e-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance
e55a9780-d98f-0133-f7be-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
5eaadd90-da5a-0133-3d70-0a81e8b09a82,I understand it fully,I would probably vote for it,Do more volunteering work,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state
ca3f65f0-d92b-0133-3959-0a81e8b09a82,I know something about it,I would vote against it,None of the above,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working
c8394f00-d9f4-0133-fe97-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,I understand it fully,I would vote for it,Work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
437716a0-da35-0133-f2f5-0a81e8b09a82,I know something about it,I would vote for it,Look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
8cc018b0-de4b-0133-0bcd-0a81e8b09a82,I understand it fully,I would probably vote for it,Do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working
7c2e43a0-da1a-0133-acda-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
b9dbcc80-da2b-0133-481e-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
89977480-d9bc-0133-b906-0a81e8b09a82,I know something about it,I would probably vote for it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward
11cf6080-dc70-0133-8090-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Work less,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
6aa21d60-deec-0133-20b3-0a81e8b09a82,I understand it fully,I would vote for it,Look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
08159f30-dbf8-0133-74d8-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
5f772780-dd7d-0133-5e86-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Do more volunteering work,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
996a7cf0-d98b-0133-a5d7-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
88d64de0-d9eb-0133-a46b-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
d2a9a650-d964-0133-4678-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is against the principle of linking merit and reward
7a3932b0-da34-0133-8caf-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
54fcb0f0-da1c-0133-efb9-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
c7ec06f0-d94c-0133-0451-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
1ab814f0-dba0-0133-a033-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
994969a0-dca5-0133-b593-0a81e8b09a82,I understand it fully,I would vote for it,Look for a different job,It creates more equality of opportunity,Only the people who need it most should get something from the state
5f4a8e40-dbd4-0133-e162-0a81e8b09a82,I understand it fully,I would not vote,Gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
fc590270-de6a-0133-72af-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
2152fc80-d9ae-0133-8d7e-0a81e8b09a82,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
51f5c5c0-de40-0133-1e9a-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
18a82df0-d8ec-0133-a131-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
eef7cc30-de4e-0133-1438-0a81e8b09a82,I know something about it,I would probably vote against it,Gain additional skills,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
296e4480-d8e9-0133-c3ad-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
5984b3b0-d8e0-0133-b014-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,"It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",None of the above
81f6b2a0-de56-0133-2850-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Work less,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
19aab9f0-da4f-0133-ee5a-0a81e8b09a82,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance
7baa89f0-da4e-0133-4b77-0a81e8b09a82,I have heard just a little about it,I would vote for it,Gain additional skills,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
e1bf7cc0-dd32-0133-4401-0a81e8b09a82,I know something about it,I would not vote,None of the above,None of the above,None of the above
faf3d380-db0f-0133-0e2e-0a81e8b09a82,I understand it fully,I would probably vote for it,Work less,It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward
4cef99b0-db53-0133-e7f4-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
1325ab20-da32-0133-b1b6-0a81e8b09a82,I know something about it,I would not vote,Spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance
c5471020-dad1-0133-487e-0a81e8b09a82,I know something about it,I would vote against it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
18a1c2e0-d8ed-0133-39aa-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
ce058e90-daf1-0133-4389-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,None of the above,It increases appreciation for household work and volunteering,It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state
2a8036a0-d963-0133-41de-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
80def8a0-da1e-0133-f7df-0a81e8b09a82,I have heard just a little about it,I would vote for it,Gain additional skills,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance
baa9e380-da6a-0133-0cb9-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Look for a different job,None of the above,It is impossible to finance
b189d930-dd84-0133-d6b4-0a81e8b09a82,I have heard just a little about it,I would vote for it,Spend more time with my family,"It increases solidarity, because it is funded by everyone",It is impossible to finance
3174f780-d9f2-0133-2fe7-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,None of the above
93241690-da78-0133-8088-0a81e8b09a82,I understand it fully,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | Only the people who need it most should get something from the state
28b98f30-dc00-0133-fa39-0a81e8b09a82,I have never heard of it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working
b8d60b60-d9f1-0133-2f47-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs",It might encourage people to stop working
106af710-d93c-0133-bebf-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward
98a08950-de43-0133-5c1f-0a81e8b09a82,I have heard just a little about it,I would not vote,Spend more time with my family,None of the above,None of the above
0b5eea70-dcdd-0133-3f72-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
6ad69c40-da2f-0133-a693-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
ca9ed810-dcb8-0133-8981-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
1aa394e0-de0f-0133-f6e2-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state
5a5158c0-d9b3-0133-1b13-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,None of the above,None of the above
b98bbaf0-d96e-0133-06ef-0a81e8b09a82,I have heard just a little about it,I would vote for it,None of the above,It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward
59995f50-ddfe-0133-cae9-0a81e8b09a82,I have never heard of it,I would vote for it,Work less,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
2456bcf0-d8dc-0133-9b88-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It increases dependence on the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
3b67ca50-d9c7-0133-9519-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Stop working,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
aea66f50-da5c-0133-132d-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility",None of the above
